Date,Airline,Flight_Number,Origin,Destination,Class,Flight Distance,Scheduled_Departure,Actual_Departure,Scheduled_Arrival,Actual_Arrival,Departure Delay in Minutes,Arrival Delay in Minutes
2025-03-29,IndiGo,6E-2857,CCU,JFK,Eco,7163,22:30,22:31,07:57,08:04,1,7
2025-08-06,IndiGo,6E-5409,LHR,DXB,Eco,2126,22:30,23:14,01:39,02:28,44,49
2025-07-12,IndiGo,6E-1407,CCU,SIN,Business,3471,12:10,12:00,17:00,16:49,0,0
2025-08-05,IndiGo,6E-7578,PNQ,MAA,Eco,6316,01:15,01:10,09:38,09:29,0,0
2025-11-28,IndiGo,6E-2577,PNQ,JFK,Eco,1685,23:15,23:25,01:51,02:05,10,14
2025-07-30,IndiGo,6E-1594,JFK,GOA,Eco,4808,04:50,05:12,11:20,11:32,22,12
2025-10-07,IndiGo,6E-4731,DXB,LHR,Eco,2030,20:10,20:04,23:12,23:01,0,0
2025-05-17,IndiGo,6E-6088,CCU,MAA,Eco,4957,10:05,10:24,16:46,16:52,19,6
2025-03-09,IndiGo,6E-9268,CCU,DEL,Eco,1059,10:50,10:51,12:39,12:25,1,0
2025-09-07,IndiGo,6E-249,CCU,JFK,Eco,6213,15:50,15:46,00:05,23:46,0,0
2026-01-26,IndiGo,6E-4035,BOM,BLR,Business,978,22:00,22:15,23:43,23:48,15,5
2026-01-20,IndiGo,6E-431,HYD,LHR,Business,3180,15:50,15:50,20:18,20:24,0,6
2025-03-25,IndiGo,6E-1701,PNQ,BLR,Eco,3888,17:05,17:38,22:26,22:47,33,21
2025-11-15,IndiGo,6E-7903,DXB,SIN,Eco,5123,22:10,22:15,05:04,05:15,5,11
2025-11-18,IndiGo,6E-2337,HYD,PNQ,Eco,4623,03:45,06:48,10:01,12:58,183,177
2025-04-13,IndiGo,6E-6046,DEL,MAA,Business,2624,05:00,07:08,08:46,11:04,128,138
2026-01-23,IndiGo,6E-8682,DXB,BLR,Eco Plus,6988,11:10,11:10,20:24,20:27,0,3
2025-03-22,IndiGo,6E-3145,DEL,PNQ,Eco,3638,00:10,00:31,05:12,05:34,21,22
2026-01-28,IndiGo,6E-7082,LHR,CCU,Eco,4323,09:10,09:04,15:04,14:58,0,0
2025-11-26,IndiGo,6E-5816,DXB,JFK,Business,2636,12:05,15:42,15:52,19:25,217,213
2025-08-02,IndiGo,6E-7911,BLR,CCU,Eco,1057,23:45,23:50,01:34,01:30,5,0
2025-12-25,IndiGo,6E-8491,SIN,MAA,Eco Plus,705,00:15,00:11,01:37,01:43,0,6
2025-07-05,IndiGo,6E-1104,DEL,JFK,Business,670,23:50,23:55,01:10,01:11,5,1
2025-05-24,IndiGo,6E-3853,MAA,BOM,Eco,8079,17:50,17:54,04:25,04:36,4,11
2026-02-14,IndiGo,6E-6650,MAA,JFK,Eco,1489,21:15,21:29,23:36,23:39,14,3
2026-01-18,IndiGo,6E-1690,BLR,BOM,Eco,4491,23:45,23:35,05:51,05:28,0,0
2025-06-21,IndiGo,6E-1257,SIN,LHR,Eco Plus,806,01:30,01:24,03:00,02:45,0,0
2025-05-09,IndiGo,6E-2012,PNQ,MAA,Eco,6080,22:15,22:27,06:21,06:42,12,21
2025-04-23,IndiGo,6E-5380,BLR,LHR,Eco,1461,21:00,20:55,23:19,23:16,0,0
2025-06-22,IndiGo,6E-1178,BLR,CCU,Business,5908,13:50,13:42,21:43,21:22,0,0
2025-10-03,IndiGo,6E-8561,DEL,JFK,Eco Plus,3423,03:45,04:02,08:31,08:55,17,24
2025-10-14,IndiGo,6E-6331,DXB,CCU,Eco,5309,10:15,10:17,17:23,17:31,2,8
2025-07-30,IndiGo,6E-2970,HYD,CCU,Eco,5872,21:15,21:18,05:05,05:12,3,7
2025-03-25,IndiGo,6E-5003,HYD,BLR,Business,3749,09:30,09:23,14:41,14:22,0,0
2025-03-10,IndiGo,6E-4983,BLR,JFK,Business,5905,13:15,15:53,21:07,23:44,158,157
2025-07-09,IndiGo,6E-894,BOM,BLR,Business,8571,03:30,03:33,14:42,14:49,3,7
2025-10-05,IndiGo,6E-6072,BLR,HYD,Eco,5329,10:30,11:08,17:39,18:22,38,43
2025-09-14,IndiGo,6E-9824,DXB,BOM,Eco,1963,15:50,16:00,18:47,18:42,10,0
2025-06-27,IndiGo,6E-6245,DXB,DEL,Eco,828,18:30,18:20,20:02,19:48,0,0
2026-02-10,IndiGo,6E-4315,DEL,HYD,Eco,6142,05:10,05:14,13:20,13:09,4,0
2025-07-25,IndiGo,6E-1646,CCU,BLR,Eco,1509,20:45,20:48,23:08,23:19,3,11
2026-01-08,IndiGo,6E-1230,DEL,JFK,Business,5418,03:00,02:56,10:16,10:09,0,0
2025-12-02,IndiGo,6E-6693,GOA,MAA,Eco,4864,17:30,17:33,00:04,00:10,3,6
2025-10-06,IndiGo,6E-9606,BOM,LHR,Eco,7635,04:30,04:57,14:32,15:08,27,36
2025-04-30,IndiGo,6E-3712,DEL,LHR,Business,7481,01:30,01:32,11:21,11:31,2,10
2025-11-19,IndiGo,6E-9047,PNQ,BOM,Eco,2497,23:10,23:06,02:47,02:37,0,0
2025-10-24,IndiGo,6E-9947,SIN,CCU,Eco,4862,00:05,00:01,06:39,06:44,0,5
2025-03-06,IndiGo,6E-9624,DEL,HYD,Eco,2616,10:45,10:39,14:31,14:23,0,0
2025-12-09,IndiGo,6E-2374,JFK,HYD,Eco,4580,18:50,18:47,01:03,01:02,0,0
2025-04-09,IndiGo,6E-8572,BLR,DEL,Eco,6629,21:00,21:25,05:47,06:17,25,30
2025-07-19,IndiGo,6E-8715,DXB,MAA,Eco,4680,20:15,20:09,02:36,02:40,0,4
2025-11-13,IndiGo,6E-3503,BLR,DEL,Eco,8116,11:45,11:56,22:23,22:38,11,15
2025-11-17,IndiGo,6E-606,CCU,SIN,Eco,3965,15:45,19:26,21:12,00:54,221,222
2025-09-06,IndiGo,6E-7093,BLR,CCU,Business,6679,21:00,21:01,05:50,05:53,1,3
2025-03-31,IndiGo,6E-5044,BOM,MAA,Eco,4801,07:45,07:36,14:15,14:12,0,0
2025-03-01,IndiGo,6E-8720,HYD,CCU,Eco,3987,16:50,16:47,22:19,22:05,0,0
2025-05-21,IndiGo,6E-7930,MAA,PNQ,Eco,946,03:30,03:34,05:10,05:15,4,5
2025-09-28,IndiGo,6E-6395,MAA,CCU,Eco,5838,15:10,15:38,22:57,23:21,28,24
2025-10-25,IndiGo,6E-9101,MAA,JFK,Eco Plus,588,18:30,18:30,19:44,19:45,0,1
2025-12-12,IndiGo,6E-4663,GOA,BLR,Eco,878,22:00,23:40,23:35,01:03,100,88
2025-03-23,IndiGo,6E-5572,BLR,GOA,Business,1009,10:15,10:18,12:00,12:05,3,5
2025-03-25,IndiGo,6E-7940,LHR,CCU,Eco,5051,11:10,11:08,17:58,17:44,0,0
2025-08-25,IndiGo,6E-2829,PNQ,LHR,Eco,5322,02:45,02:39,09:54,09:36,0,0
2025-08-17,IndiGo,6E-4944,GOA,BLR,Eco,8409,12:30,12:45,23:30,23:30,15,0
2025-05-21,IndiGo,6E-3234,SIN,DEL,Business,7157,23:30,02:49,08:56,12:24,199,208
2025-09-17,IndiGo,6E-5702,DEL,HYD,Eco,1126,10:45,10:50,12:39,12:43,5,4
